ngram,Intensity/max.value,ST/max.value,SP/max.value
북한/NNP;을/JKO;지원/NNG,Medium,Argument,POS
북한/NNP;의/JKG,Medium,Judgment,POS
분/NNB,Medium,Judgment,POS
분/NNB;들/XSN,Medium,Argument,POS
분/NNB;들/XSN;이/JKS,Medium,Argument,POS
분/NNB;의/JKG,Medium,Judgment,POS
분/NNB;이/JKS,Medium,Judgment,POS
분/NNB;이/JKS;드물/VA,Medium,Judgment,POS
분노/NNG,Medium,Emotion,POS
분단/NNG,Low,Argument,POS
분단/NNG;극복/NNG,Low,Speculation,POS
분단/NNG;극복/NNG;인식/NNG,Low,Argument,POS
분류/NNG,High,Agreement,POS
분류/NNG;를/JKO,High,Judgment,POS
분류/NNG;를/JKO;아예/MAG,High,Agreement,POS
분명*/MAG,Medium,Judgment,NEG
분명*/MAG;하/XSA,Medium,Judgment,POS
분명*/MAG;하/XSA;지/EC,Medium,Judgment,NEG
분명/MAG,None,Others,NEG
분명/NNG,High,Judgment,NEG
분명/NNG;하/XSA,High,Judgment,POS
분석/NNG,Medium,Argument,NEG
분석/NNG;하/XSV,Medium,Argument,POS
분야/NNG,Medium,Argument,NEG
분야/NNG;욕심내/VV,Medium,Argument,POS
분야/NNG;욕심내/VV;고/EC,Medium,Argument,NEG
분열/NNG,Medium,Judgment,NEG
분위기/NNG,Medium,Judgment,NEG
분위기/NNG;를/JKO,Medium,Argument,POS
분위기/NNG;를/JKO;만들/VV,Medium,Judgment,POS
분자/NNG,Medium,Judgment,POS
분자/NNG;들/XSN,Medium,Argument,POS
분자/NNG;들/XSN;의/JKG,Medium,Judgment,POS
분쟁/NNG,High,Judgment,POS
불/NNG,Medium,Judgment,POS
불/NNG;빛/NNG,Medium,Judgment,POS
불/NNG;빛/NNG;없이/MAG,Medium,Judgment,POS
불/VV,High,Judgment,NEG
불/XPN,Medium,Judgment,NEG
불/XPN;가능/NNG,Medium,Argument,POS
불/XPN;가능/NNG;하/XSA,Medium,Judgment,POS
불/XPN;명예/NNG,Medium,Judgment,POS
불/XPN;명예/NNG;를/JKO,Medium,Judgment,POS
불가/NNG,Medium,Judgment,NEG
불감증/NNG,Medium,Judgment,NEG
불결/NNG,Medium,Judgment,NEG
불결/NNG;하/XSA,Medium,Argument,POS
불결/NNG;하/XSA;ㄴ/ETM,Medium,Judgment,POS
불과/MAG,High,Judgment,NEG
불과/MAG;하/XSA,High,Argument,POS
불과/XR,Medium,Judgment,NEG
불과/XR;하/XSA,Medium,Judgment,POS
불구/XR,None,Others,NEG
불구/XR;하/XSV,None,Judgment,POS
불구/XR;하/XSV;고/EC,None,Judgment,POS
불길/XR,Medium,Judgment,NEG
불길/XR;하/XSA,Medium,Judgment,POS
불길/XR;하/XSA;ㅁ/ETN,Medium,Judgment,POS
불량/NNG,Medium,Judgment,NEG
불러들이/VV,Medium,Judgment,POS
불러오/VV,Medium,Judgment,POS
불러오/VV;ㄹ/ETM,Medium,Intention,NEG
불러오/VV;ㄹ/ETM;듯/NNB,Medium,Judgment,NEG
불러일으키/VV,Medium,Judgment,NEG
불륜/NNG,Medium,Judgment,NEG
불륜/NNG;은/JX,Medium,Judgment,NEG
불륜/NNG;은/JX;불결/NNG,Medium,Judgment,NEG
불리/NNG,Medium,Judgment,POS
불리/NNG;하/XSA,Medium,Argument,NEG
불리/NNG;하/XSA;ㄴ/ETM,Medium,Judgment,NEG
불리/VV,High,Argument,NEG
불리/VV;ㄴ/ETM,High,Argument,POS
불리/VV;ㄴ/ETM;일/NNG,High,Argument,POS
불만/NNG,High,Emotion,NEG
불만/NNG;의/JKG,High,Judgment,POS
불만/NNG;의/JKG;목소리/NNG,High,Emotion,POS
불만/NNG;증가/NNG,High,Argument,POS
불매/NNG,Medium,Judgment,POS
불매/NNG;운동/NNG,Medium,Argument,POS
불매/NNG;운동/NNG;을/JKO,Medium,Judgment,POS
불법/NNG,Medium,Judgment,NEG
불법/NNG;도/JX,High,Judgment,POS
불법/NNG;도/JX;불사/XR,High,Judgment,POS
불법/NNG;을/JKO,Medium,Judgment,POS
불법/NNG;을/JKO;방지/NNG,Medium,Judgment,POS
불법/NNG;입국자/NNG,Medium,Argument,POS
불법/NNG;입국자/NNG;가/JKS,Medium,Judgment,POS
불법/NNG;행위/NNG,High,Argument,POS
불사/XR,High,Judgment,NEG
불사/XR;하/XSV,High,Argument,NEG
불순/NNG,Medium,Judgment,POS
불순/NNG;분자/NNG,Medium,Judgment,POS
불순/NNG;분자/NNG;들/XSN,Medium,Judgment,POS
불신/NNG,Medium,Judgment,POS
불신/NNG;을/JKO,Medium,Argument,POS
불신/NNG;을/JKO;받/VV,Medium,Judgment,POS
불쌍/XR,Medium,Judgment,NEG
불쌍/XR;하/XSA,Medium,Judgment,POS
불쌍/XR;하/XSA;ㄴ/ETM,Medium,Judgment,NEG
불안/NNG,Medium,Emotion,NEG
불안/NNG;하/XSA,Medium,Argument,POS
불안/NNG;하/XSA;아/EC,Medium,Emotion,NEG
불안감/NNG,Medium,Judgment,NEG
불안감/NNG;때문/NNB,Medium,Argument,POS
불안감/NNG;때문/NNB;에/JKB,Medium,Judgment,POS
불우/NNG,Medium,Argument,NEG
불우/NNG;하/XSA,Medium,Argument,POS
불우/NNG;하/XSA;ㄴ/ETM,Medium,Argument,POS
불의/NNG,Medium,Judgment,NEG
불의/NNG;가/JKS,Medium,Judgment,POS
불의/NNG;가/JKS;횡행/NNG,Medium,Judgment,POS
불퇴전/NNG,Medium,Judgment,POS
불퇴전/NNG;의/JKG,Medium,Argument,POS
불퇴전/NNG;의/JKG;자세/NNG,Medium,Judgment,POS
불행/NNG,Low,Judgment,POS
불행/NNG;하/XSV,Low,Judgment,POS
불행/NNG;하/XSV;지/EC,Low,Judgment,NEG
불행감/NNG,Low,Emotion,POS
불행감/NNG;에서/JKB,Low,Judgment,POS
불행감/NNG;에서/JKB;벗어나/VV,Low,Emotion,NEG
불황/NNG,Medium,Judgment,POS
불황/NNG;타개/NNG,Medium,Argument,POS
붉/VA,Medium,Judgment,POS
붉/VA;은/ETM,Medium,Agreement,POS
붉/VA;은/ETM;손바닥/NNG,Medium,Judgment,POS
붐/NNG,Medium,Judgment,POS
붐/NNG;이/JKS,Medium,Judgment,POS
붐/NNG;이/JKS;전국/NNG,Medium,Judgment,POS
붓/NNG,Low,Argument,POS
붓/NNG;을/JKO,Low,Judgment,POS
붓/NNG;을/JKO;들/VV,Low,Argument,POS
붓/NNG;질/XSN,Medium,Argument,POS
붓/NNG;질/XSN;은/JX,Medium,Judgment,POS
붙/VV,Medium,Intention,POS
붙/VV;어/EC,Medium,Judgment,POS
붙/VV;어/EC;있/VX,Medium,Judgment,POS
블레어/NNG,Medium,Judgment,POS
블레어/NNG;위치/NNG,Medium,Judgment,POS
비/NNG,High,Judgment,POS
비/NNG;하/XSV,High,Judgment,POS
비/NNG;하/XSV;아/EC,High,Judgment,POS
비/XPN,Medium,Judgment,NEG
비/XPN;과학/NNG,Medium,Judgment,POS
비/XPN;과학/NNG;적/XSN,Medium,Judgment,POS
비/XPN;반복/NNG,Medium,Judgment,POS
비/XPN;반복/NNG;적/XSN,Medium,Argument,POS
비/XPN;타협/NNG,Medium,Judgment,POS
비/XPN;타협/NNG;성/XSN,Medium,Judgment,POS
비가/NNG,Medium,Emotion,NEG
비가/NNG;로/JKB,Medium,Judgment,POS
비가/NNG;로/JKB;읽/VV,Medium,Emotion,POS
비겁/XR,High,Judgment,POS
비겁/XR;하/XSA,High,Judgment,NEUT
비관/NNG,High,Emotion,POS
비관/NNG;하/XSV,High,Judgment,NEUT
비교/NNG,Low,Judgment,POS
비교/NNG;적/XSN,Low,Judgment,NEUT
비교/NNG;적/XSN;명징/XR,Low,Judgment,POS
비교적/MAG,Medium,Judgment,NEG
비교적/MAG;좋/VA,Medium,Judgment,NEG
비교적/MAG;좋/VA;아/EC,Medium,Judgment,POS
비극/NNG,Medium,Judgment,POS
비극/NNG;성/XSN,Medium,Judgment,NEG
비극/NNG;의/JKG,Medium,Argument,NEG
비극/NNG;의/JKG;잉태/NNG,Medium,Judgment,POS
비극/NNG;적/XSN,Medium,Emotion,NEG
비극/NNG;적/XSN;이/VCP,Medium,Emotion,POS
비난/NNG,Medium,Argument,POS
비디오/NNG,Medium,Argument,POS
비디오/NNG;가/JKS,Low,Emotion,NEG
비디오/NNG;가/JKS;많이/MAG,Low,Judgment,POS
비디오/NNG;는/JX,Medium,Judgment,NEG
비디오/NNG;는/JX;아직/MAG,Medium,Argument,POS
비디오/NNG;등/NNB,Medium,Judgment,NEG
비디오/NNG;등/NNB;기획물/NNG,Medium,Argument,POS
비디오/NNG;시장/NNG,Medium,Judgment,NEG
비디오/NNG;시장/NNG;이/JKS,Medium,Argument,POS
비록/MAG,None,Others,POS
비리/NNG,High,Judgment,POS
비리/NNG;이/VCP,High,Judgment,NEG
비밀/NNG,Medium,Argument,POS
비밀/NNG;병기/NNG,Medium,Judgment,NEG
비밀/NNG;작법/NNG,Medium,Judgment,NEG
비밀/NNG;작법/NNG;이/VCP,Medium,Argument,POS
비상/NNG,High,Judgment,POS
비상/NNG;이/JKS,Medium,Judgment,NEG
비상/NNG;이/JKS;걸리/VV,Medium,Judgment,POS
비상/NNG;하/XSA,High,Judgment,POS
비서진/NNG,High,Judgment,POS
비서진/NNG;에/JKB,High,Judgment,POS
비서진/NNG;에/JKB;의하/VV,High,Judgment,POS
비슷/XR,Medium,Argument,NEG
비슷/XR;하/XSA,Medium,Emotion,POS
비슷/XR;하/XSA;게/EC,Medium,Judgment,POS
비슷/XR;하/XSA;ㄴ/ETM,Low,Argument,POS
비싸/VA,Medium,Judgment,NEG
비싸/VA;ㄴ/ETM,Medium,Judgment,POS
비싸/VA;ㄴ/ETM;값/NNG,Medium,Argument,POS
비아냥/NNG,Medium,Emotion,POS
비아냥/NNG;섞이/VV,Medium,Emotion,POS
비아냥/NNG;섞이/VV;ㄴ/ETM,Medium,Judgment,POS
비용/NNG,Medium,Judgment,POS
비용/NNG;이/JKS,Medium,Argument,NEG
비용/NNG;이/JKS;두/MM,Medium,Judgment,POS
비유/NNG,Medium,Argument,POS
비유/NNG;하/XSV,Medium,Judgment,NEG
비전/NNG,High,Judgment,COMP
비전/NNG;을/JKO,High,Judgment,NEG
비전/NNG;을/JKO;내버리/VV,High,Judgment,POS
비좁/VA,Medium,Judgment,COMP
비좁/VA;은/ETM,Medium,Judgment,NEG
비중/NNG,Medium,Judgment,POS
비참/NNG,Medium,Argument,NEG
비참/NNG;하/XSA,Medium,Emotion,NEG
비참/NNG;하/XSA;ㄴ/ETM,Medium,Judgment,NEG
비참/NNG;하/XSV,Medium,Judgment,NEG
비참/NNG;하/XSV;ㄴ/ETM,Medium,Argument,NEG
비추/VV,Medium,Judgment,POS
비추/VV;어/EC,Medium,Judgment,POS
비추/VV;어/EC;주/VX,Medium,Judgment,POS
비키/VV,Medium,Argument,COMP
비키/VV;라우/EF,Medium,Judgment,POS
비판/NNG,Medium,Judgment,COMP
비판/NNG;도/JX,Low,Argument,POS
비판/NNG;도/JX;많이/MAG,Low,Argument,POS
비판/NNG;의/JKG,Medium,Judgment,POS
비판/NNG;의/JKG;도마/NNG,Medium,Judgment,POS
비판/NNG;이/JKS,High,Judgment,POS
비판/NNG;이/JKS;적/VA,High,Judgment,POS
비판/NNG;하/XSV,High,Judgment,POS
비행기/NNG,Low,Argument,COMP
비행기/NNG;안/NNG,Low,Judgment,POS
비행기/NNG;안/NNG;에서/JKB,Low,Argument,POS
빗대/VV,Low,Argument,NEG
빚/VV,Medium,Argument,NEG
빚/VV;었/EP,Medium,Judgment,POS
빚/VV;었/EP;고/EC,Medium,Argument,POS
빛/NNG,Medium,Argument,NEG
빛/NNG;없이/MAG,Medium,Argument,POS
빛/NNG;없이/MAG;걷/VV,Medium,Judgment,POS
빛/NNG;이/JKS,Medium,Judgment,POS
빛/NNG;이/JKS;존재/NNG,Medium,Argument,POS
빛깔/NNG,Medium,Judgment,NEG
빛깔/NNG;이/JKS,Medium,Emotion,POS
빛깔/NNG;이/JKS;다양/XR,Medium,Judgment,POS
빛살/NNG,Low,Argument,NEUT
빛살/NNG;이/JKS,Low,Judgment,POS
빛살/NNG;이/JKS;들어오/VV,Low,Argument,POS
빠르/VA,Medium,Judgment,NEUT
빠르/VA;ㄴ/ETM,Low,Emotion,POS
빠르/VA;ㄴ/ETM;물살/NNG,Low,Judgment,POS
빠르/VA;ㄴ/ETM;실현/NNG,Medium,Judgment,POS
빠지/VV,Medium,Judgment,NEUT
빠지/VV;면/EC,Medium,Judgment,POS
빠지/VV;면/EC;한/NNG,Medium,Argument,NEG
빠지/VV;어/EC,Medium,Judgment,POS
빠지/VV;어/EC;숨지/VV,Low,Judgment,NEG
빠지/VV;어/EC;있/VX,Medium,Judgment,POS
빨/VV,Low,Argument,POS
빨/VV;고/EC,Medium,Judgment,POS
빨/VV;고/EC;손/NNG,Medium,Argument,POS
빨/VV;러/EC,Low,Judgment,POS
빨리/MAG,Medium,Judgment,POS
빨리/MAG;바꾸/VV,Medium,Judgment,POS
빨리/MAG;바꾸/VV;고/EC,Medium,Judgment,NEG
빼/VV,Medium,Judgment,POS
빼/VV;는/ETM,Medium,Emotion,POS
빼/VV;는/ETM;데/NNB,Medium,Judgment,POS
빼/VV;어/EC,High,Judgment,POS
빼/VV;어/EC;놓/VX,High,Judgment,POS
빼기/NNG,Low,Judgment,POS
빼놓/VV,Medium,Judgment,POS
빼놓/VV;을/ETM,Medium,Argument,POS
빼놓/VV;을/ETM;수/NNB,Medium,Judgment,POS
빼놓/VV;지/EC,Medium,Argument,POS
빼놓/VV;지/EC;말/VX,Medium,Judgment,NEG
빼앗기/VV,Medium,Judgment,POS
빼앗기/VV;ㄹ지/EC,Medium,Argument,NEG
빼앗기/VV;ㄹ지/EC;모르/VV,Medium,Judgment,POS
빼어나/VA,High,Judgment,POS
빼어나/VA;ㄴ/ETM,High,Judgment,NEG
빼어나/VA;ㄴ/ETM;미형/NNG,High,Judgment,POS
뻔뻔/XR,Medium,Judgment,POS
뻔뻔/XR;하/XSA,Medium,Judgment,NEG
뻔뻔/XR;하/XSA;ㄹ/ETM,Medium,Judgment,POS
뻔하/VA,Medium,Judgment,POS
뿐/JX,None,Others,NEG
뿐/JX;아니/VCN,None,Argument,POS
뿐/JX;아니/VCN;라/EC,None,Others,POS
뿐/JX;이/VCP,None,Intention,POS
뿐/JX;이/VCP;ㄴ가/EF,None,Others,POS
뿐/NNB,None,Others,NEG
뿐/NNB;더러/JKB,None,Judgment,POS
뿐/NNB;만/JX,None,Judgment,POS
뿐/NNB;만/JX;아니/VCN,None,Judgment,NEG
뿐/NNB;만/JX;이/JKC,None,Others,POS
뿐/NNB;아니/VCN,None,Judgment,POS
뿐/NNB;아니/VCN;라/EC,None,Judgment,POS
뿐/NNB;이/VCP,Medium,Argument,POS
뿐/NNB;이/VCP;고/EC,Medium,Argument,POS
뿐/NNB;이/VCP;다/EF,Medium,Argument,POS
뿜어내/VV,Medium,Judgment,NEG
사/NNG,Medium,Judgment,POS
사/NNG;적/XSN,Medium,Judgment,POS
사/NNG;적/XSN;이/VCP,Medium,Judgment,POS
사/VV,Medium,Judgment,POS
사/VV;느라/EC,Medium,Argument,POS
사/VV;느라/EC;딸/NNG,Medium,Argument,POS
사건/NNG,High,Judgment,NEG
사고/NNG,Medium,Judgment,NEG
사고/NNG;가/JKS,Medium,Argument,POS
사고/NNG;가/JKS;일어나/VV,Medium,Judgment,POS
사고/NNG;위험/NNG,High,Judgment,POS
사고/NNG;위험/NNG;많/VA,High,Argument,POS
사고/NNG;위험/NNG;이/JKS,Low,Judgment,POS
사고/NNG;잦/VA,Medium,Judgment,POS
사고/NNG;잦/VA;아/EC,Medium,Judgment,POS
사귀/VV,High,Emotion,NEG
사귀/VV;고/EC,High,Argument,POS
사귀/VV;고/EC;약혼/NNG,High,Emotion,POS
사극/NNG,Low,Argument,NEG
사극/NNG;이/JKC,Low,Argument,POS
사극/NNG;이/JKC;아니/VCN,Low,Argument,POS
사기/NNG,Medium,Judgment,NEG
사기/NNG;꾼/XSN,Medium,Judgment,POS
사기/NNG;행각/NNG,Medium,Judgment,NEG
사라지/VV,Medium,Judgment,POS
사람/NNG,Medium,Argument,POS
사람/NNG;과/JC,Medium,Judgment,NEG
사람/NNG;과/JC;마음/NNG,Medium,Judgment,NEG
사람/NNG;도/JX,Low,Argument,NEG
사람/NNG;들/XSN,Medium,Judgment,POS
사람/NNG;들/XSN;사이/NNG,Medium,Argument,POS
사람/NNG;들/XSN;을/JKO,Medium,Judgment,NEG
사람/NNG;들/XSN;이/JKS,Medium,Argument,NEG
사람/NNG;은/JX,Medium,Argument,POS
사람/NNG;은/JX;많/VA,Medium,Judgment,POS
사람/NNG;은/JX;없/VA,Medium,Argument,POS
사람/NNG;을/JKO,Low,Argument,POS
사람/NNG;을/JKO;위하/VV,Medium,Judgment,POS
사람/NNG;을/JKO;이용/NNG,Low,Argument,POS
사람/NNG;의/JKG,Medium,Judgment,NEG
사람/NNG;의/JKG;마음/NNG,Medium,Judgment,POS
사람/NNG;이/JKS,Medium,Argument,NEG
사람/NNG;이/JKS;다시/MAG,Medium,Argument,POS
사람/NNG;이/JKS;알/VV,Medium,Argument,NEG
사람/NNG;이/VCP,Medium,Argument,NEG
사람/NNG;이/VCP;거나/EC,Medium,Argument,NEG
사람/NNG;이/VCP;라면/EC,Medium,Argument,POS
사람/NNG;혼/NNG,Medium,Judgment,COMP
사람/NNG;혼/NNG;을/JKO,Medium,Judgment,POS
사랑/NNG,Medium,Emotion,POS
사랑/NNG;과/JC,Medium,Judgment,NEUT
사랑/NNG;과/JC;결혼/NNG,Medium,Judgment,POS
사랑/NNG;은/JX,Medium,Judgment,NEUT
사랑/NNG;은/JX;구체/NNG,Medium,Judgment,POS
사랑/NNG;은/JX;다른/MM,High,Emotion,NEG
사랑/NNG;은/JX;알/VV,Medium,Argument,NEG
사랑/NNG;은/JX;우리/NP,Medium,Argument,NEG
사랑/NNG;을/JKO,Medium,Argument,POS
사랑/NNG;을/JKO;굶주리/VV,Medium,Emotion,POS
사랑/NNG;이/JKS,High,Argument,POS
사랑/NNG;이/JKS;각별/XR,High,Emotion,POS
사랑/NNG;이/JKS;없/VA,Medium,Argument,POS
사랑/NNG;이/VCP,Medium,Judgment,POS
사랑/NNG;이/VCP;야/EF,Medium,Argument,POS
사랑/NNG;하/XSV,Medium,Judgment,POS
사랑/NNG;하/XSV;게/EC,Medium,Speculation,POS
사랑/NNG;하/XSV;ㄹ/ETM,Medium,Argument,NEG
사로잡/VV,Medium,Judgment,POS
사로잡/VV;아/EC,Medium,Argument,NEG
사로잡/VV;아/EC;오/VX,Medium,Judgment,NEG
사로잡히/VV,High,Emotion,POS
사망/NNG,High,Argument,POS
사망/NNG;률/XSN,High,Argument,POS
사망/NNG;률/XSN;을/JKO,Low,Argument,NEG
사물/NNG,Medium,Judgment,POS
사물/NNG;이/JKS,Medium,Argument,POS
사물/NNG;이/JKS;제대로/MAG,Medium,Judgment,POS
사뭇/MAG,None,Others,POS
사상/NNG,Medium,Judgment,POS
사상/NNG;의/JKG,Medium,Judgment,NEG
사상/NNG;의/JKG;거푸집/NNG,Medium,Judgment,POS
사상/NNG;처음/NNG,None,Argument,NEG
사상/NNG;최대/NNG,Medium,Argument,POS
사상/NNG;최대/NNG;규모/NNG,Medium,Judgment,POS
사색/NNG,High,Judgment,POS
사색/NNG;영글/VV,Medium,Judgment,POS
사색/NNG;을/JKO,High,Argument,POS
사슬/NNG,Medium,Judgment,POS
사슬/NNG;도/JX,Medium,Judgment,POS
사슬/NNG;도/JX;끊/VV,Medium,Argument,POS
사슬/NNG;을/JKO,Medium,Argument,POS
사슬/NNG;을/JKO;끊/VV,Medium,Judgment,POS
사슬/NNG;을/JKO;벗/VV,Medium,Judgment,POS
사실/MAG,None,Others,NEG
사실/NNG,Medium,Argument,NEG
사실/NNG;상/XSN,None,Judgment,NEG
사실/NNG;이/VCP,Medium,Judgment,NEG
사실/NNG;이/VCP;ㅂ니다/EF,Medium,Argument,NEG
사용/NNG,Medium,Judgment,NEG
사용/NNG;도/JX,Medium,Judgment,NEG
사용/NNG;도/JX;없/VA,Medium,Judgment,POS
사용/NNG;되/XSV,Medium,Judgment,POS
사용/NNG;하/XSV,Low,Judgment,POS
사용/NNG;하/XSV;ㄴ/ETM,Low,Argument,POS
사원/NNG,Medium,Judgment,POS
사원/NNG;에/JKB,Medium,Judgment,POS
사원/NNG;에/JKB;비/NNG,Medium,Judgment,POS
사이/NNG,Medium,Argument,POS
사이/NNG;에/JKB,Medium,Judgment,POS
사이/NNG;에/JKB;서로/NNG,Medium,Argument,NEG
사이버/NNG,Low,Judgment,POS
사이버/NNG;공간/NNG,Low,Judgment,POS
사이버/NNG;공간/NNG;에서/JKB,Low,Judgment,NEG
사정/NNG,Medium,Argument,POS
사정/NNG;이/JKS,Medium,Judgment,POS
사정/NNG;이/JKS;달라지/VV,Medium,Argument,NEG
사진/NNG,Medium,Judgment,POS
사진/NNG;촬영/NNG,Medium,Others,NEG
사진/NNG;촬영/NNG;하/XSV,Medium,Judgment,POS
사항/NNG,Medium,Argument,POS
사항/NNG;이/VCP,Medium,Others,NEG
사항/NNG;이/VCP;ㅂ니다/EF,Medium,Argument,POS
사회/NNG,Medium,Judgment,NEG
사회/NNG;문제/NNG,Medium,Judgment,NEG
사회/NNG;에서/JKB,Medium,Argument,POS
사회/NNG;에서/JKB;편모/NNG,Medium,Argument,NEG
사회/NNG;의/JKG,High,Judgment,POS
사회/NNG;의/JKG;안정/NNG,High,Judgment,NEG
사회/NNG;적/XSN,Medium,Judgment,POS
사회/NNG;적/XSN;가치/NNG,Medium,Judgment,POS
사회/NNG;적/XSN;갈등/NNG,Medium,Judgment,POS
사회/NNG;적/XSN;질병/NNG,Medium,Judgment,NEG
사회/NNG;적/XSN;행태/NNG,High,Judgment,NEG
삭막/XR,Medium,Judgment,NEG
삭막/XR;하/XSA,Medium,Judgment,POS
삭막/XR;하/XSA;ㄴ/ETM,Medium,Judgment,NEG
삭제/NNG,Medium,Judgment,NEG
삭제/NNG;하/XSV,Medium,Emotion,POS
산/NNG,Medium,Argument,NEG
산/NNG;에/JKB,Medium,Argument,POS
산/NNG;에/JKB;가/VV,Medium,Argument,POS
산/XSN,Low,Judgment,POS
산/XSN;포도주/NNG,Low,Judgment,POS
산/XSN;포도주/NNG;한/MM,Low,Judgment,POS
산뜻/XR,Medium,Judgment,NEG
산뜻/XR;하/XSA,Medium,Judgment,POS
산뜻/XR;하/XSA;ㄴ/ETM,Medium,Judgment,NEG
산매/NNG,Medium,Judgment,NEG
산매/NNG;가격/NNG,Medium,Judgment,POS
산매/NNG;가격/NNG;보다/JKB,Medium,Judgment,POS
살/NNG,Medium,Judgment,POS
살/NNG;과/JC,Medium,Argument,NEG
살/NNG;과/JC;지방/NNG,Medium,Judgment,POS
살/NNG;을/JKO,Medium,Judgment,POS
살/NNG;을/JKO;빼/VV,Medium,Judgment,POS
살/VV,Medium,Judgment,POS
살/VV;고/EC,Low,Argument,POS
살/VV;고/EC;있/VX,Low,Argument,POS
살/VV;ㄴ/ETM,Medium,Judgment,POS
살/VV;ㄴ/ETM;경험/NNG,Medium,Judgment,POS
살/VV;ㄴ다는/ETM,Medium,Judgment,POS
살/VV;ㄴ다는/ETM;것/NNB,Medium,Argument,POS
살/VV;ㄹ/ETM,Medium,Emotion,POS
살/VV;ㄹ/ETM;집/NNG,Medium,Argument,POS
살/VV;아/EC,Medium,Argument,NEG
살/VV;아/EC;넘치/VV,High,Judgment,POS
살/VV;아/EC;있/VX,Medium,Argument,POS
살/VV;아야/EC,Medium,Argument,NEG
살/VV;아야/EC;하/VX,Medium,Argument,POS
살/VV;았/EP,Low,Judgment,NEG
살/VV;았/EP;던/ETM,Low,Judgment,POS
살/VV;지/EC,Medium,Judgment,POS
살길/NNG,Medium,Argument,POS
살길/NNG;을/JKO,Medium,Judgment,POS
살길/NNG;을/JKO;열/VV,Medium,Argument,POS
살리/VV,Medium,Argument,POS
살리/VV;ㄹ/ETM,Medium,Others,POS
살리/VV;ㄹ/ETM;수/NNB,Medium,Argument,POS
살리/VV;어/EC,Medium,Judgment,POS
살리/VV;어/EC;내/VX,Medium,Judgment,POS
살림/NNG,Medium,Argument,POS
살림/NNG;꾼/XSN,Medium,Judgment,POS
살아나/VV,Medium,Judgment,POS
살아남/VV,Medium,Judgment,POS
살아오/VV,Medium,Judgment,NEUT
살아오/VV;ㄴ/ETM,Medium,Judgment,POS
살아오/VV;ㄴ/ETM;삶/NNG,Medium,Judgment,POS
살인/NNG,High,Argument,NEUT
살인/NNG;죄/NNG,Medium,Argument,POS
살인/NNG;죄/NNG;씌우/VV,Medium,Argument,POS
살인/NNG;질주/NNG,High,Judgment,POS
살짝살짝/MAG,Medium,Judgment,NEUT
살피/VV,Medium,Judgment,POS
삶/NNG,Medium,Judgment,POS
삶/NNG;을/JKO,Medium,Others,POS
삶/NNG;을/JKO;버팅기/VV,Medium,Argument,POS
삶/NNG;을/JKO;보장/NNG,Medium,Judgment,POS
삶/NNG;을/JKO;살/VV,Medium,Judgment,POS
삶/NNG;을/JKO;찾/VV,High,Judgment,POS
삶/NNG;의/JKG,Medium,Argument,POS
삶/NNG;의/JKG;비밀/NNG,Medium,Argument,POS
삶/NNG;의/JKG;영역/NNG,Medium,Judgment,POS
삶/NNG;의/JKG;주체/NNG,Medium,Judgment,POS
삶/NNG;이/JKS,Medium,Argument,POS
삶/NNG;이/JKS;시집/NNG,Medium,Judgment,POS
삶/NNG;이/JKS;텍스트/NNG,Medium,Argument,POS
삼/VV,Medium,Argument,POS
삼박자/NNG,High,Judgment,POS
삼박자/NNG;가/JKS,High,Argument,POS
삼박자/NNG;가/JKS;꽤/MAG,High,Judgment,POS
삼위일체/NNG,Medium,Judgment,POS
상/NNG,Medium,Judgment,POS
상/NNG;을/JKO,Medium,Judgment,POS
상/NNG;을/JKO;받/VV,Medium,Judgment,POS
상/NNG;을/JKO;석권/NNG,High,Judgment,POS
상/NNG;을/JKO;타/VV,Medium,Judgment,POS
상/NNP,Medium,Judgment,NEG
상/NNP;수상/NNG,Medium,Judgment,NEG
상/XSN,Medium,Judgment,NEG
상/XSN;처음/NNG,Medium,Argument,NEG
상/XSN;처음/NNG;있/VV,Medium,Judgment,COMP
상담/NNG,Medium,Argument,NEG
상담/NNG;이/JKS,Medium,Judgment,POS
상담/NNG;이/JKS;일반/NNG,Medium,Argument,COMP
상대/NNG,Low,Judgment,NEG
상대/NNG;가/JKS,Medium,Argument,POS
상대/NNG;가/JKS;없/VA,Medium,Judgment,COMP
상대/NNG;적/XSN,Low,Judgment,POS
상대/NNG;적/XSN;으로/JKB,Low,Emotion,POS
상상/NNG,Medium,Argument,POS
상상/NNG;도/JX,Low,Argument,NEUT
상상/NNG;도/JX;못하/VX,Low,Speculation,POS
상상/NNG;의/JKG,Medium,Emotion,POS
상상/NNG;의/JKG;세계/NNG,Medium,Judgment,POS
상상/NNG;의/JKG;집/NNG,Medium,Argument,POS
상상력/NNG,Medium,Judgment,POS
상상력/NNG;을/JKO,Medium,Judgment,POS
상상력/NNG;을/JKO;자극/NNG,Medium,Judgment,POS
상세/XR,Medium,Judgment,POS
상세/XR;하/XSA,Medium,Argument,POS
상속/NNG,Medium,Argument,POS
상수/NNG,High,Judgment,POS
상수/NNG;이/VCP,High,Argument,POS
상식/NNG,Medium,Judgment,POS
상식/NNG;적/XSN,Medium,Judgment,POS
상식/NNG;적/XSN;이/VCP,Medium,Judgment,POS
상실/NNG,Medium,Judgment,NEG
상실/NNG;하/XSV,Medium,Argument,COMP
